categories,description,hauteur,largeur,longueur,poids,prix,sku,stock,tags,titre,url
"['drill', 'pokemon']","Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",4,4,4,136.7,31.0,1159,178,"['drill', 'nidoking', 'poison point']",Nidoking,https://scrapeme.live/shop/Nidoking/
"['poison pin', 'pokemon']","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",2,2,2,43.0,179.0,9646,279,"['nidorino', 'poison pin', 'poison point']",Nidorino,https://scrapeme.live/shop/Nidorino/
"['drill', 'pokemon']",Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,4,4,4,132.3,106.0,6614,153,"['drill', 'nidoqueen', 'poison point']",Nidoqueen,https://scrapeme.live/shop/Nidoqueen/
"['poison pin', 'pokemon']","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",2,2,2,44.1,28.0,9779,58,"['nidorina', 'poison pin', 'poison point']",Nidorina,https://scrapeme.live/shop/Nidorina/
"['mouse', 'pokemon']","Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",3,3,3,65.0,155.0,4747,236,"['mouse', 'sand veil', 'sandslash']",Sandslash,https://scrapeme.live/shop/Sandslash/
"['mouse', 'pokemon']","Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",2,2,2,26.5,82.0,9134,100,"['mouse', 'sand veil', 'sandshrew']",Sandshrew,https://scrapeme.live/shop/Sandshrew/
"['mouse', 'pokemon']",This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,2,2,2,66.1,140.0,3488,215,"['mouse', 'raichu', 'static']",Raichu,https://scrapeme.live/shop/Raichu/
"['mouse', 'pokemon']",This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,1,1,1,13.2,37.0,1333,254,"['mouse', 'pikachu', 'static']",Pikachu,https://scrapeme.live/shop/Pikachu/
"['cobra', 'pokemon']","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",11,11,11,143.3,182.0,9230,248,"['arbok', 'cobra', 'shed skin']",Arbok,https://scrapeme.live/shop/Arbok/
"['mouse', 'pokemon']","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",1,1,1,7.7,128.0,1009,16,"['mouse', 'rattata', 'run away']",Rattata,https://scrapeme.live/shop/Rattata/
"['bird', 'pokemon']","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",4,4,4,87.1,185.0,8462,90,"['bird', 'keen eye', 'pidgeot']",Pidgeot,https://scrapeme.live/shop/Pidgeot/
"['bird', 'pokemon']","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",3,3,3,66.1,84.0,1150,120,"['bird', 'keen eye', 'pidgeotto']",Pidgeotto,https://scrapeme.live/shop/Pidgeotto/
"['mushroom', 'pokemon']","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",3,3,3,65.0,27.0,4612,17,"['effect spore', 'mushroom', 'parasect']",Parasect,https://scrapeme.live/shop/Parasect/
"['mushroom', 'pokemon']",Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,1,1,1,11.9,168.0,9691,192,"['effect spore', 'mushroom', 'paras']",Paras,https://scrapeme.live/shop/Paras/
"['flower', 'pokemon']","Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",3,3,3,41.0,170.0,5295,283,"['chlorophyll', 'flower', 'vileplume']",Vileplume,https://scrapeme.live/shop/Vileplume/
"['pokemon', 'weed']","From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",2,2,2,19.0,178.0,7374,74,"['chlorophyll', 'gloom', 'weed']",Gloom,https://scrapeme.live/shop/Gloom/
"['pokemon', 'weed']","Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",1,1,1,11.9,45.0,8337,296,"['chlorophyll', 'oddish', 'weed']",Oddish,https://scrapeme.live/shop/Oddish/
"['mole', 'pokemon']","Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",,,,1.8,122.0,4383,227,"['diglett', 'mole', 'sand veil']",Diglett,https://scrapeme.live/shop/Diglett/
"['poison moth', 'pokemon']","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",4,4,4,27.6,53.0,3503,22,"['poison moth', 'shield dust', 'venomoth']",Venomoth,https://scrapeme.live/shop/Venomoth/
"['insect', 'pokemon']","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",3,3,3,66.1,158.0,1329,177,"['compound eyes', 'insect', 'venonat']",Venonat,https://scrapeme.live/shop/Venonat/
"['bat', 'pokemon']","Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",5,5,5,121.3,136.0,5941,52,"['bat', 'golbat', 'inner focus']",Golbat,https://scrapeme.live/shop/Golbat/
"['bat', 'pokemon']","Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",2,2,2,16.5,125.0,2584,154,"['bat', 'inner focus', 'zubat']",Zubat,https://scrapeme.live/shop/Zubat/
"['balloon', 'pokemon']","Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",3,3,3,26.5,130.0,2733,260,"['balloon', 'cute charm', 'wigglytuff']",Wigglytuff,https://scrapeme.live/shop/Wigglytuff/
"['balloon', 'pokemon']","When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",1,1,1,12.1,61.0,9180,136,"['balloon', 'cute charm', 'jigglypuff']",Jigglypuff,https://scrapeme.live/shop/Jigglypuff/
"['fox', 'pokemon']",Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,3,3,3,43.9,52.0,5173,215,"['flash fire', 'fox', 'ninetales']",Ninetales,https://scrapeme.live/shop/Ninetales/
"['fox', 'pokemon']","Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",2,2,2,21.8,85.0,1440,268,"['flash fire', 'fox', 'vulpix']",Vulpix,https://scrapeme.live/shop/Vulpix/
"['fairy', 'pokemon']","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",4,4,4,88.2,188.0,9786,23,"['clefable', 'cute charm', 'fairy']",Clefable,https://scrapeme.live/shop/Clefable/
"['fairy', 'pokemon']","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",2,2,2,16.5,160.0,3259,86,"['clefairy', 'cute charm', 'fairy']",Clefairy,https://scrapeme.live/shop/Clefairy/
"['duck', 'pokemon']","Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",5,5,5,168.9,31.0,8764,278,"['damp', 'duck', 'golduck']",Golduck,https://scrapeme.live/shop/Golduck/
"['duck', 'pokemon']","If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",2,2,2,43.2,182.0,6470,214,"['damp', 'duck', 'psyduck']",Psyduck,https://scrapeme.live/shop/Psyduck/
"['classy cat', 'pokemon']",Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,3,3,3,70.5,200.0,3752,108,"['classy cat', 'persian', 'technician']",Persian,https://scrapeme.live/shop/Persian/
"['pokemon', 'scratch cat']","Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",1,1,1,9.3,131.0,9594,203,"['meowth', 'pickup', 'scratch cat']",Meowth,https://scrapeme.live/shop/Meowth/
"['mole', 'pokemon']","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",2,2,2,73.4,111.0,7897,290,"['dugtrio', 'mole', 'sand veil']",Dugtrio,https://scrapeme.live/shop/Dugtrio/
"['pokemon', 'superpower']",Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,2,2,2,43.0,166.0,9506,173,"['guts', 'machop', 'superpower']",Machop,https://scrapeme.live/shop/Machop/
"['pokemon', 'psi']","Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",4,4,4,105.8,40.0,7975,142,"['alakazam', 'inner focus', 'psi']",Alakazam,https://scrapeme.live/shop/Alakazam/
"['pokemon', 'psi']","Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",4,4,4,124.6,129.0,9040,195,"['inner focus', 'kadabra', 'psi']",Kadabra,https://scrapeme.live/shop/Kadabra/
"['pokemon', 'psi']","Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",2,2,2,43.0,141.0,3845,116,"['abra', 'inner focus', 'psi']",Abra,https://scrapeme.live/shop/Abra/
"['pokemon', 'tadpole']","Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",4,4,4,119.0,152.0,1848,216,"['damp', 'poliwrath', 'tadpole']",Poliwrath,https://scrapeme.live/shop/Poliwrath/
"['pokemon', 'tadpole']","The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",3,3,3,44.1,121.0,4447,139,"['damp', 'poliwhirl', 'tadpole']",Poliwhirl,https://scrapeme.live/shop/Poliwhirl/
"['pokemon', 'tadpole']","Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",2,2,2,27.3,174.0,6402,217,"['damp', 'poliwag', 'tadpole']",Poliwag,https://scrapeme.live/shop/Poliwag/
"['legendary', 'pokemon']","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",6,6,6,341.7,69.0,9267,14,"['arcanine', 'intimidate', 'legendary']",Arcanine,https://scrapeme.live/shop/Arcanine/
"['pokemon', 'puppy']","Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",2,2,2,41.9,30.0,1749,243,"['growlithe', 'intimidate', 'puppy']",Growlithe,https://scrapeme.live/shop/Growlithe/
"['pig monkey', 'pokemon']","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",3,3,3,70.5,86.0,3052,68,"['pig monkey', 'primeape', 'vital spirit']",Primeape,https://scrapeme.live/shop/Primeape/
"['pig monkey', 'pokemon']","When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",1,1,1,61.7,125.0,5180,209,"['mankey', 'pig monkey', 'vital spirit']",Mankey,https://scrapeme.live/shop/Mankey/
"['magnet', 'pokemon']","Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",3,3,3,132.3,191.0,5934,152,"['magnet', 'magneton', 'sturdy']",Magneton,https://scrapeme.live/shop/Magneton/
"['magnet', 'pokemon']",Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,1,1,1,13.2,100.0,1688,16,"['magnemite', 'magnet', 'sturdy']",Magnemite,https://scrapeme.live/shop/Magnemite/
"['hermit crab', 'pokemon']","Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",5,5,5,173.1,179.0,3864,289,"['hermit crab', 'oblivious', 'slowbro']",Slowbro,https://scrapeme.live/shop/Slowbro/
"['dopey', 'pokemon']","Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",3,3,3,79.4,109.0,2145,57,"['dopey', 'oblivious', 'slowpoke']",Slowpoke,https://scrapeme.live/shop/Slowpoke/
"['fire horse', 'pokemon']","Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",5,5,5,209.4,98.0,3414,194,"['fire horse', 'rapidash', 'run away']",Rapidash,https://scrapeme.live/shop/Rapidash/
"['fire horse', 'pokemon']",Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,3,3,3,66.1,53.0,3629,41,"['fire horse', 'ponyta', 'run away']",Ponyta,https://scrapeme.live/shop/Ponyta/
"['megaton', 'pokemon']","Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",4,4,4,661.4,103.0,1408,151,"['golem', 'megaton', 'rock head']",Golem,https://scrapeme.live/shop/Golem/
"['pokemon', 'rock']","Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",3,3,3,231.5,182.0,4748,86,"['graveler', 'rock', 'rock head']",Graveler,https://scrapeme.live/shop/Graveler/
"['pokemon', 'rock']","When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",1,1,1,44.1,32.0,1650,77,"['geodude', 'rock', 'rock head']",Geodude,https://scrapeme.live/shop/Geodude/
"['jellyfish', 'pokemon']",Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,5,5,5,121.3,65.0,1723,175,"['clear body', 'jellyfish', 'tentacruel']",Tentacruel,https://scrapeme.live/shop/Tentacruel/
"['jellyfish', 'pokemon']",Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,2,2,2,100.3,186.0,1506,66,"['clear body', 'jellyfish', 'tentacool']",Tentacool,https://scrapeme.live/shop/Tentacool/
"['flycatcher', 'pokemon']","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",5,5,5,34.2,68.0,2187,119,"['chlorophyll', 'flycatcher', 'victreebel']",Victreebel,https://scrapeme.live/shop/Victreebel/
"['flycatcher', 'pokemon']","Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",3,3,3,14.1,26.0,5253,46,"['chlorophyll', 'flycatcher', 'weepinbell']",Weepinbell,https://scrapeme.live/shop/Weepinbell/
"['flower', 'pokemon']","Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",2,2,2,8.8,74.0,7454,257,"['bellsprout', 'chlorophyll', 'flower']",Bellsprout,https://scrapeme.live/shop/Bellsprout/
"['pokemon', 'superpower']","Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",5,5,5,286.6,121.0,2857,242,"['guts', 'machamp', 'superpower']",Machamp,https://scrapeme.live/shop/Machamp/
"['pokemon', 'superpower']","Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",4,4,4,155.4,27.0,9503,10,"['guts', 'machoke', 'superpower']",Machoke,https://scrapeme.live/shop/Machoke/
"['pokemon', 'river crab']","Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",1,1,1,14.3,64.0,2333,147,"['krabby', 'river crab', 'shell armor']",Krabby,https://scrapeme.live/shop/Krabby/
"['hypnosis', 'pokemon']","Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",5,5,5,166.7,198.0,2634,222,"['hypno', 'hypnosis', 'insomnia']",Hypno,https://scrapeme.live/shop/Hypno/
"['hypnosis', 'pokemon']","If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",3,3,3,71.4,40.0,9437,253,"['drowzee', 'hypnosis', 'insomnia']",Drowzee,https://scrapeme.live/shop/Drowzee/
"['pokemon', 'rock snake']","Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",28,28,28,463.0,37.0,2221,286,"['onix', 'rock head', 'rock snake']",Onix,https://scrapeme.live/shop/Onix/
"['pokemon', 'shadow']","Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",4,4,4,89.3,149.0,6267,159,"['gengar', 'levitate', 'shadow']",Gengar,https://scrapeme.live/shop/Gengar/
"['gas', 'pokemon']","Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",5,5,5,0.2,42.0,7532,181,"['gas', 'haunter', 'levitate']",Haunter,https://scrapeme.live/shop/Haunter/
"['gas', 'pokemon']","Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",4,4,4,0.2,179.0,6873,151,"['gas', 'gastly', 'levitate']",Gastly,https://scrapeme.live/shop/Gastly/
"['bivalve', 'pokemon']","Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",4,4,4,292.1,199.0,5736,39,"['bivalve', 'cloyster', 'shell armor']",Cloyster,https://scrapeme.live/shop/Cloyster/
"['bivalve', 'pokemon']","At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",1,1,1,8.8,138.0,4653,23,"['bivalve', 'shell armor', 'shellder']",Shellder,https://scrapeme.live/shop/Shellder/
"['pokemon', 'sludge']","This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",3,3,3,66.1,187.0,9514,220,"['muk', 'sludge', 'stench']",Muk,https://scrapeme.live/shop/Muk/
"['pokemon', 'sludge']",Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,2,2,2,66.1,147.0,3031,201,"['grimer', 'sludge', 'stench']",Grimer,https://scrapeme.live/shop/Grimer/
"['pokemon', 'sea lion']",Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,5,5,5,264.6,70.0,9375,62,"['dewgong', 'sea lion', 'thick fat']",Dewgong,https://scrapeme.live/shop/Dewgong/
"['pokemon', 'sea lion']","Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",3,3,3,198.4,164.0,2302,250,"['sea lion', 'seel', 'thick fat']",Seel,https://scrapeme.live/shop/Seel/
"['pokemon', 'triple bird']","Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",5,5,5,187.8,138.0,4038,118,"['dodrio', 'run away', 'triple bird']",Dodrio,https://scrapeme.live/shop/Dodrio/
"['pokemon', 'twin bird']","Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",4,4,4,86.4,73.0,8303,227,"['doduo', 'run away', 'twin bird']",Doduo,https://scrapeme.live/shop/Doduo/
"['pokemon', 'wild duck']","Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",2,2,2,33.1,185.0,3808,158,"['farfetchd', 'keen eye', 'wild duck']",Farfetchd,https://scrapeme.live/shop/Farfetchd/
